Country,Latitude,Longitude
Afghanistan,34.28N,69.11E
Albania,41.18N,19.49E
Algeria,36.42N,03.08E
American Samoa,14.16S,170.43W
Andorra,42.31N,01.32E
Angola,08.50S,13.15E
Antigua and Barbuda,17.20N,61.48W
Argentina,36.30S,60.00W
Armenia,40.10N,44.31E
Aruba,12.32N,70.02W
Australia,35.15S,149.08E
Austria,48.12N,16.22E
Azerbaijan,40.29N,49.56E
Bahamas,25.05N,77.20W
Bahrain,26.10N,50.30E
Bangladesh,23.43N,90.26E
Barbados,13.05N,59.30W
Belarus,53.52N,27.30E
Belgium,50.51N,04.21E
Belize,17.18N,88.30W
Benin,06.23N,02.42E
Bhutan,27.31N,89.45E
Bolivia (Plurinational State of),16.20S,68.10W
Bosnia and Herzegovina,43.52N,18.26E
Botswana,24.45S,25.57E
Brazil,15.47S,47.55W
British Virgin Islands,18.27N,64.37W
Brunei Darussalam,04.52N,115.00E
Bulgaria,42.45N,23.20E
Burkina Faso,12.15N,01.30W
Burundi,03.16S,29.18E
Cambodia,11.33N,104.55E
Cameroon,03.50N,11.35E
Canada,45.27N,75.42W
Cape Verde,15.02N,23.34W
Cayman Islands,19.20N,81.24W
Central African Republic,04.23N,18.35E
Chad,12.10N,14.59E
Chile,33.24S,70.40W
China,39.55N,116.20E
Colombia,04.34N,74.00W
Comros,11.40S,43.16E
Congo,04.09S,15.12E
Costa Rica,09.55N,84.02W
Cote d'Ivoire,06.49N,05.17W
Croatia,45.50N,15.58E
Cuba,23.08N,82.22W
Cyprus,35.10N,33.25E
Czech Republic,50.05N,14.22E
Democratic Republic of the Congo,04.20S,15.15E
Denmark,55.41N,12.34E
Djibouti,11.08N,42.20E
Dominica,15.20N,61.24W
Dominica Republic,18.30N,69.59W
East Timor,08.29S,125.34E
Ecuador,00.15S,78.35W
Egypt,30.01N,31.14E
El Salvador,13.40N,89.10W
Equatorial Guinea,03.45N,08.50E
Eritrea,15.19N,38.55E
Estonia,59.22N,24.48E
Ethiopia,09.02N,38.42E
Falkland Islands (Malvinas),51.40S,59.51W
Faroe Islands,62.05N,06.56W
Fiji,18.06S,178.30E
Finland,60.15N,25.03E
France,48.50N,02.20E
French Guiana,05.05N,52.18W
French Polynesia,17.32S,149.34W
Gabon,00.25N,09.26E
Gambia,13.28N,16.40W
Georgia,41.43N,44.50E
Germany,52.30N,13.25E
Ghana,05.35N,00.06W
Greece,37.58N,23.46E
Greenland,64.10N,51.35W
Guadeloupe,16.00N,61.44W
Guatemala,14.40N,90.22W
Guernsey,49.26N,02.33W
Guinea,09.29N,13.49W
Guinea-Bissau,11.45N,15.45W
Guyana,06.50N,58.12W
Haiti,18.40N,72.20W
Heard Island and McDonald Islands,53.00S,74.00E
Honduras,14.05N,87.14W
Hungary,47.29N,19.05E
Iceland,64.10N,21.57W
India,28.37N,77.13E
Indonesia,06.09S,106.49E
Iran (Islamic Republic of),35.44N,51.30E
Iraq,33.20N,44.30E
Ireland,53.21N,06.15W
Israel,31.71N,35.10W
Italy,41.54N,12.29E
Jamaica,18.00N,76.50W
Jordan,31.57N,35.52E
Kazakhstan,51.10N,71.30E
Kenya,01.17S,36.48E
Kiribati,01.30N,173.00E
Kuwait,29.30N,48.00E
Kyrgyzstan,42.54N,74.46E
Lao People's Democratic Republic,17.58N,102.36E
Latvia,56.53N,24.08E
Lebanon,33.53N,35.31E
Lesotho,29.18S,27.30E
Liberia,06.18N,10.47W
Libyan Arab Jamahiriya,32.49N,13.07E
Liechtenstein,47.08N,09.31E
Lithuania,54.38N,25.19E
Luxembourg,49.37N,06.09E
"Macao, China",22.12N,113.33E
Madagascar,18.55S,47.31E
Macedonia (Former Yugoslav Republic),42.01N,21.26E
Malawi,14.00S,33.48E
Malaysia,03.09N,101.41E
Maldives,04.00N,73.28E
Mali,12.34N,07.55W
Malta,35.54N,14.31E
Martinique,14.36N,61.02W
Mauritania,20.10S,57.30E
Mayotte,12.48S,45.14E
Mexico,19.20N,99.10W
Micronesia (Federated States of),06.55N,158.09E
"Moldova, Republic of",47.02N,28.50E
Mozambique,25.58S,32.32E
Myanmar,16.45N,96.20E
Namibia,22.35S,17.04E
Nepal,27.45N,85.20E
Netherlands,52.23N,04.54E
Netherlands Antilles,12.05N,69.00W
New Caledonia,22.17S,166.30E
New Zealand,41.19S,174.46E
Nicaragua,12.06N,86.20W
Niger,13.27N,02.06E
Nigeria,09.05N,07.32E
Norfolk Island,45.20S,168.43E
Democratic People's Republic of Korea,39.09N,125.30E
Northern Mariana Islands,15.12N,145.45E
Norway,59.55N,10.45E
Oman,23.37N,58.36E
Pakistan,33.40N,73.10E
Palau,07.20N,134.28E
Panama,09.00N,79.25W
Papua New Guinea,09.24S,147.08E
Paraguay,25.10S,57.30W
Peru,12.00S,77.00W
Philippines,14.40N,121.03E
Poland,52.13N,21.00E
Portugal,38.42N,09.10W
Puerto Rico,18.28N,66.07W
Qatar,25.15N,51.35E
Republic of Korea,37.31N,126.58E
Romania,44.27N,26.10E
Russian Federation,55.45N,37.35E
Rawanda,01.59S,30.04E
Saint Kitts and Nevis,17.17N,62.43W
Saint Lucia,14.02N,60.58W
Saint Pierre and Miquelon,46.46N,56.12W
Saint Vincent and the Greenadines,13.10N,61.10W
Samoa,13.50S,171.50W
San Marino,43.55N,12.30E
Sao Tome and Principe,00.10N,06.39E
Saudi Arabia,24.41N,46.42E
Senegal,14.34N,17.29W
Sierra Leone,08.30N,13.17W
Slovakia,48.10N,17.07E
Slovenia,46.04N,14.33E
Solomon Islands,09.27S,159.57E
Somalia,02.02N,45.25E
South Africa,25.44S,28.12E
Spain,40.25N,03.45W
Sudan,15.31N,32.35E
Suriname,05.50N,55.10W
Swaziland,26.18S,31.06E
Sweden,59.20N,18.03E
Switzerland,46.57N,07.28E
Syrian Arab Republic,33.30N,36.18E
Tajikistan,38.33N,68.48E
Thailand,13.45N,100.35E
Togo,06.09N,01.20E
Tonga,21.10S,174.00W
Tunisia,36.50N,10.11E
Turkey,39.57N,32.54E
Turkmenistan,38.00N,57.50E
Tuvalu,08.31S,179.13E
Uganda,00.20N,32.30E
Ukraine,50.30N,30.28E
United Arab Emirates,24.28N,54.22E
United Kingdom of Great Britain and Northern Ireland,51.36N,00.05W
United Republic of Tanzania,06.08S,35.45E
United States of America,39.91N,77.02W
United States of Virgin Islands,18.21N,64.56W
Uruguay,34.50S,56.11W
Uzbekistan,41.20N,69.10E
Vanuatu,17.45S,168.18E
Venezuela (Bolivarian Republic of),10.30N,66.55W
Viet Nam,21.05N,105.55E
Yugoslavia,44.50N,20.37E
Zambia,15.28S,28.16E
Zimbabwe,17.43S,31.02E
Côte d'Ivoire,7.54N,5.55W
Cabo Verde,16.54N,23.04W
Comoros,11.65S,43.33E
Cook Islands,21.24S,159.78W
Czechia,49.82N,15.47E
Dominican Republic,18.74N,70.16W
Grenada,12.12N,61.70W
Japan,36.20N,138.25E
Libya,26.34N,17.23E
Marshall Islands,7.13N,171.19E
Mauritius,20.35S,57.55E
Mongolia,46.86N,103.85E
Montenegro,42.71N,19.37E
Morocco,31.79N,7.09W
Nauru,0.52S,166.93E
Niue,19.05S,169.87W
Republic of Moldova,47.41N,28.37E
Rwanda,1.94S,29.87E
Saint Vincent and the Grenadines,12.98N,61.29W
Serbia,44.02N,21.01E
Seychelles,4.68S,55.49E
Singapore,1.35N,103.82E
South Sudan,6.87N,31.31E
Sri Lanka,7.87N,80.77E
The former Yugoslav republic of Macedonia,41.61N,21.75E
Timor-Leste,8.87S,125.73E
Trinidad and Tobago,10.69N,61.22W
Yemen,15.55N,48.52E
Monaco,43.74N,7.42E
